Charge,vf,vr
1.45E-18,0.116187781,-0.176290112
1.68E-19,0.009602133,-0.108016291
8.30E-20,-0.001062728,-0.173644277
3.29E-19,0.028434409,-0.105410553
2.51E-19,0.009646168,-0.165948955
2.10E-19,0.007293883,-0.161239379
2.85E-19,0.016070367,-0.138203652
3.94E-19,0.015196667,-0.204008081
4.82E-19,0.024324963,-0.187463286
8.06E-19,0.028433219,-0.299590977
7.12E-19,0.054024082,-0.156151872
1.77E-19,0.025826425,-0.049931748
2.00E-18,0.052348491,-0.545923522
8.31E-19,0.04208453,-0.235724376
8.80E-19,0.02269595,-0.378061098
4.99E-19,0.02700686,-0.181061411
1.97E-19,0.033986852,-0.039251284
5.07E-19,0.023301175,-0.204482554
7.86E-20,-0.000973017,-0.171935757
1.54E-19,0.004262828,-0.157113709
1.23E-19,0.002091624,-0.18296255
1.41E-19,0.016983946,-0.057238914
1.03E-18,0.049070799,-0.26889639
1.81E-19,0.028295426,-0.045652261
3.22E-19,0.035406149,-0.082124629
4.11E-19,0.02110507,-0.173150895
3.81E-19,0.030427159,-0.119281887
1.92E-19,0.015066153,-0.092299112
1.85E-19,0.021112148,-0.066403908
1.13E-19,0.003160196,-0.134627149
9.02E-19,0.068407648,-0.168019545
1.92E-19,0.038889625,-0.028117035
2.33E-19,0.036475456,-0.047201286
2.49E-19,0.010291402,-0.158608668
6.90E-19,0.105336191,-0.040784324
5.45E-19,0.064877731,-0.082145939
2.03E-19,0.024356629,-0.06486
2.25E-19,0.02093912,-0.085752708
5.08E-19,0.023263543,-0.205721571
4.24E-19,0.036881892,-0.114844504
1.04E-18,0.038752999,-0.32455208
1.58E-18,0.046811161,-0.453550008
6.25E-19,0.035071462,-0.194180266
7.04E-19,0.062817361,-0.130227531
2.22E-18,0.075336429,-0.480379785
5.79E-19,0.021509568,-0.249661423
1.41E-18,0.043441247,-0.420261901
1.29E-18,0.020134886,-0.605696251
1.90E-18,0.058935618,-0.479706734
8.44E-19,0.053415052,-0.19760364
1.62E-18,0.131640143,-0.174760648
5.38E-19,0.018792191,-0.250659551
4.61E-19,0.028382604,-0.159782912
4.17E-19,0.019671381,-0.184835935
7.20E-19,0.02282613,-0.30484785
5.38E-19,0.020758254,-0.23604229
6.37E-19,0.032308352,-0.211115456
4.03E-19,0.026155196,-0.145038742
1.25E-18,0.044058103,-0.36664273
1.60E-19,0.014904803,-0.07489824
6.49E-19,0.045060599,-0.165108438
3.37E-19,0.018157427,-0.153711783
5.07E-19,0.018308637,-0.239007821
1.38E-18,0.064776856,-0.307777858
4.76E-19,0.032692975,-0.148044005
1.15E-18,0.042997485,-0.337213595
7.02E-19,0.014365146,-0.388248785
6.32E-19,0.025327364,-0.247739303
