"","Charge","vf","vr"
"139",4.01e-19,0.008014266,-0.299595102
"140",7.32e-19,0.017798238,-0.358336048
"141",6.07e-19,0.019132634,-0.282113224
"142",1.73e-19,0.016227818,-0.076681723
"143",2.19e-19,0.002869603,-0.277253903
"144",4.14e-19,0.014685614,-0.219399372
"145",5.02e-19,0.019972864,-0.223834929
"146",1.71e-19,0.027461528,-0.043161062
"147",1.45e-19,0.004075658,-0.15174175
"148",2.87e-19,0.004755954,-0.28050078
"149",1.68e-19,0.009602133,-0.108016291
"150",8.3e-20,-0.001062728,-0.173644277
"151",3.29e-19,0.028434409,-0.105410553
"152",2.51e-19,0.009646168,-0.165948955
"153",2.1e-19,0.007293883,-0.161239379
"154",2.85e-19,0.016070367,-0.138203652
"155",3.94e-19,0.015196667,-0.204008081
"156",4.82e-19,0.024324963,-0.187463286
"157",8.06e-19,0.028433219,-0.299590977
"158",7.12e-19,0.054024082,-0.156151872
"159",1.77e-19,0.025826425,-0.049931748
"160",8.31e-19,0.04208453,-0.235724376
"161",8.8e-19,0.02269595,-0.378061098
"162",4.99e-19,0.02700686,-0.181061411
"163",1.97e-19,0.033986852,-0.039251284
"164",5.07e-19,0.023301175,-0.204482554
"165",7.86e-20,-0.000973017,-0.171935757
"166",1.54e-19,0.004262828,-0.157113709
"167",1.23e-19,0.002091624,-0.18296255
"168",1.41e-19,0.016983946,-0.057238914
"169",1.81e-19,0.028295426,-0.045652261
"170",3.22e-19,0.035406149,-0.082124629
"171",4.11e-19,0.02110507,-0.173150895
"172",3.81e-19,0.030427159,-0.119281887
"173",1.92e-19,0.015066153,-0.092299112
"174",1.85e-19,0.021112148,-0.066403908
"175",1.13e-19,0.003160196,-0.134627149
"176",9.02e-19,0.068407648,-0.168019545
"177",1.92e-19,0.038889625,-0.028117035
"178",2.33e-19,0.036475456,-0.047201286
"179",2.49e-19,0.010291402,-0.158608668
"180",6.9e-19,0.105336191,-0.040784324
"181",5.45e-19,0.064877731,-0.082145939
"182",2.03e-19,0.024356629,-0.06486
"183",2.25e-19,0.02093912,-0.085752708
"184",5.08e-19,0.023263543,-0.205721571
"185",4.24e-19,0.036881892,-0.114844504
"186",6.25e-19,0.035071462,-0.194180266
"187",7.04e-19,0.062817361,-0.130227531
"188",5.79e-19,0.021509568,-0.249661423
"189",8.44e-19,0.053415052,-0.19760364
"190",5.38e-19,0.018792191,-0.250659551
"191",4.61e-19,0.028382604,-0.159782912
"192",4.17e-19,0.019671381,-0.184835935
"193",7.2e-19,0.02282613,-0.30484785
"194",5.38e-19,0.020758254,-0.23604229
"195",6.37e-19,0.032308352,-0.211115456
"196",4.03e-19,0.026155196,-0.145038742
"197",1.6e-19,0.014904803,-0.07489824
"198",6.49e-19,0.045060599,-0.165108438
"199",3.37e-19,0.018157427,-0.153711783
"200",5.07e-19,0.018308637,-0.239007821
"201",4.76e-19,0.032692975,-0.148044005
"202",7.02e-19,0.014365146,-0.388248785
"203",6.32e-19,0.025327364,-0.247739303
