    0  0.0000  0.0000  0.0000  2.7200  0.0000  0.0000  1.3600  2.3560  0.0000  4.0800  2.3560  0.0000  0.0000  1.5700 -2.2210  2.7200  1.5700 -2.2210
   10 -0.0589 -0.0258 -0.0295  2.7028  0.0140  0.0371  1.3957  2.4012  0.0502  4.1189  2.4154  0.1208  0.1053  1.5631 -2.1811  2.8376  1.5373 -2.2218
   20 -0.1056 -0.0676 -0.0588  2.6764  0.0271  0.0863  1.4390  2.4523  0.1041  4.1372  2.4885  0.2672  0.2077  1.5536 -2.1390  2.9375  1.4962 -2.1906
   30 -0.0975 -0.1205 -0.0736  2.6463  0.0249  0.1383  1.4745  2.4884  0.1411  4.1145  2.5575  0.3891  0.2461  1.5457 -2.1175  2.9590  1.4626 -2.1083
   40 -0.0253 -0.1686 -0.0700  2.6258 -0.0041  0.1886  1.4920  2.4967  0.1607  4.0751  2.6078  0.4471  0.2081  1.5459 -2.1224  2.9187  1.4507 -1.9913
   50  0.0962 -0.1855 -0.0478  2.6356 -0.0623  0.2269  1.4854  2.4685  0.1675  4.0580  2.6140  0.4040  0.1197  1.5545 -2.1462  2.8564  1.4717 -1.8934
   60  0.2298 -0.1500 -0.0102  2.6913 -0.1339  0.2407  1.4596  2.4096  0.1657  4.0878  2.5546  0.2563  0.0325  1.5592 -2.1788  2.7976  1.5177 -1.8787
   70  0.3268 -0.0610  0.0399  2.7901 -0.1848  0.2211  1.4309  2.3427  0.1528  4.1551  2.4290  0.0418 -0.0069  1.5447 -2.2044  2.7409  1.5633 -1.9656
   80  0.3442  0.0567  0.1005  2.9070 -0.1811  0.1688  1.4220  2.2989  0.1197  4.2229  2.2647 -0.1802  0.0203  1.5143 -2.2069  2.6710  1.5840 -2.1161
   90  0.2653  0.1628  0.1683  3.0003 -0.1142  0.0939  1.4480  2.2993  0.0583  4.2537  2.1119 -0.3558  0.0902  1.4940 -2.1785  2.5906  1.5719 -2.2662
  100  0.1133  0.2218  0.2324  3.0234 -0.0086  0.0151  1.5000  2.3382 -0.0262  4.2326  2.0241 -0.4537  0.1454  1.5129 -2.1263  2.5340  1.5387 -2.3734
  110 -0.0540  0.2192  0.2717  2.9476  0.0928 -0.0462  1.5434  2.3831 -0.1103  4.1769  2.0339 -0.4698  0.1307  1.5762 -2.0737  2.5457  1.5054 -2.4270
  120 -0.1723  0.1648  0.2637  2.7874  0.1491 -0.0767  1.5362  2.3930 -0.1646  4.1290  2.1352 -0.4165  0.0292  1.6532 -2.0518  2.6436  1.4897 -2.4322
  130 -0.2092  0.0826  0.2000  2.6033  0.1363 -0.0788  1.4572  2.3426 -0.1730  4.1256  2.2828 -0.3078 -0.1198  1.6991 -2.0852  2.8012  1.5050 -2.3980
  140 -0.1793 -0.0053  0.0907  2.4758  0.0617 -0.0695  1.3247  2.2410 -0.1427  4.1606  2.4141 -0.1556 -0.2422  1.6880 -2.1690  2.9533  1.5568 -2.3366
  150 -0.1245 -0.0881 -0.0447  2.4612 -0.0340 -0.0703  1.1922  2.1376 -0.0961  4.1848  2.4825  0.0231 -0.2789  1.6268 -2.2775  3.0170  1.6278 -2.2572
